escenario,tipo,estado_municipio
ALTA,solo_banavim,SINALOA - CONCORDIA
ALTA,solo_banavim,SINALOA - COSALA
ALTA,solo_banavim,SINALOA - CULIACAN
ALTA,solo_banavim,SINALOA - GUASAVE
ALTA,solo_banavim,SINALOA - MAZATLAN
ALTA,solo_banavim,SINALOA - MOCORITO
ALTA,solo_banavim,SINALOA - NAVOLATO
ALTA,solo_banavim,SONORA - CABORCA
ALTA,solo_banavim,SONORA - CAJEME
ALTA,solo_banavim,SONORA - HERMOSILLO
ALTA,solo_banavim,TABASCO - BALANCAN
ALTA,solo_banavim,TABASCO - CARDENAS
ALTA,solo_banavim,TABASCO - CENTLA
ALTA,solo_banavim,TABASCO - CENTRO
ALTA,solo_banavim,TABASCO - COMALCALCO
ALTA,solo_banavim,TABASCO - EMILIANO ZAPATA
ALTA,solo_banavim,TABASCO - MACUSPANA
ALTA,solo_banavim,TABASCO - NACAJUCA
ALTA,solo_banavim,TABASCO - PARAISO
ALTA,solo_banavim,TABASCO - TENOSIQUE
ALTA,solo_banavim,TAMAULIPAS - PALMILLAS
ALTA,solo_banavim,TAMAULIPAS - REYNOSA
ALTA,solo_banavim,TAMAULIPAS - VICTORIA
ALTA,solo_banavim,TLAXCALA - ACUAMANALA DE MIGUEL HIDALGO
ALTA,solo_banavim,TLAXCALA - APETATITLAN DE ANTONIO CARVAJAL
ALTA,solo_banavim,TLAXCALA - APIZACO
ALTA,solo_banavim,TLAXCALA - CALPULALPAN
ALTA,solo_banavim,TLAXCALA - CHIAUTEMPAN
ALTA,solo_banavim,TLAXCALA - CONTLA DE JUAN CUAMATZI
ALTA,solo_banavim,TLAXCALA - HUAMANTLA
ALTA,solo_banavim,TLAXCALA - HUEYOTLIPAN
ALTA,solo_banavim,TLAXCALA - IXTACUIXTLA DE MARIANO MATAMOROS
ALTA,solo_banavim,TLAXCALA - IXTENCO
ALTA,solo_banavim,TLAXCALA - SAN PABLO DEL MONTE
ALTA,solo_banavim,TLAXCALA - SANTA APOLONIA TEACALCO
ALTA,solo_banavim,TLAXCALA - TERRENATE
ALTA,solo_banavim,TLAXCALA - TETLA DE LA SOLIDARIDAD
ALTA,solo_banavim,TLAXCALA - TLAXCALA
ALTA,solo_banavim,TLAXCALA - TLAXCO
ALTA,solo_banavim,TLAXCALA - TZOMPANTEPEC
ALTA,solo_banavim,TLAXCALA - ZACATELCO
